,words,words_label,intent_label
0,میخوام برای ناهار  سه تا  کباب برگ از  رستوران سیب سفارش بدم ,O O O B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant O O ,Order_Food
1,من میخواهم به  یک  موسیقی از  مایلی سایرس گوش کنم ,O O O O O O B-Artist I-Artist O O ,Play_Music
2,عدد یک آژانس کرایه میدان کن از نقش جهان تا پل خواجو,O O O O B-Departure O O I-Departure I-Departure O B-Destination I-Destination,Catch_a_Cab
3,سه تا کباب برگ سفارش,B-Number I-Number B-Food I-Food O,Order_Food
4,تا هتل اسپسناس میخوام بگیرم تاکسی,O B-Destination I-Destination O O O,Catch_a_Cab
5,لطفا  یه دونه  ترانه از  احسان خواجه امیری بذار ,O O O O O B-Artist I-Artist I-Artist O ,Play_Music
6, شادترین آهنگ  احسان خواجه امیری را پخش کن ,O O B-Artist I-Artist I-Artist O O O ,Play_Music
7, یکشنبه آینده  آفتابیه ,B-Date I-Date O ,Get_Weather
8,میتونی یک سری گل یاس پخش کنی,O O O O B-Artist O O ,Play_Music
9, پیش بینی هوا شناسی  ژوهانسبورگ  شنبه قبل  چی بود ,O O O O B-Location B-Date I-Date O O ,Get_Weather
10, آژانس از اینجا تا  تهرانپارس  چقدر میشه ,O O B-Departure O B-Destination O O ,Catch_a_Cab
11,لطفا برای میان چند وعده از اکبرجوجه فقط سه تا گوشت همبرگر سفارش بده,O O O O O O B-Restaurant O B-Number I-Number O B-Food O O,Order_Food
12,یه دونه تپسی برم رستوران روسی,O O O O B-Destination I-Destination,Catch_a_Cab
13,من دونه یه چیز پرفروش میخوام,O O O O O O,Play_Music
14,لطفا برای  میان وعده از  سیب 360  یک عدد  پیتزای یونانی سفارش بده ,O O O O O B-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
15,پیش بینی آب و هوا است آتن آفتابی,O O O O O O B-Location O,Get_Weather
16, یه  آژانس میخوام تا من رو ببره  خوابگاه ,O O O O O O O B-Destination ,Catch_a_Cab
17,یه آژانس من میخوام تا رو ببره خوابگاه,O O O O O O O B-Destination,Catch_a_Cab
18,واسه چهار تا جوجه کباب ران اژدر زاپاتا ارزانتر میشه,O B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant O O ,Order_Food
19,از  نزدیک ترین کافه یه  پیتزای پپرونی سفارش بده ,O B-Restaurant I-Restaurant I-Restaurant B-Number B-Food I-Food O O ,Order_Food
20,میتونی برای  میان وعده یه پیتزا سفارش بدی ,O O O O B-Number B-Food O O ,Order_Food
21, پیش بینی هوا شناسی  دمشق  شنبه قبل چطور بود ,O O O O B-Location B-Date I-Date O O ,Get_Weather
22,هزینه ماشین از توی میدان وکیل تا کافه سکوی سه نه و سه چهارم مغازه چند کیلو تومن میشه,O O O O B-Departure I-Departure O B-Destination I-Destination I-Destination I-Destination I-Destination I-Destination I-Destination O O O O O,Catch_a_Cab
23,یه دونه فیلم موسیقی از گروه کویین هم پخش کن,O O O O O B-Artist I-Artist O O O,Play_Music
24, یه دونه  چیزبرگر سفارش بده ,B-Number I-Number B-Food O O ,Order_Food
25,لطفا یه  موسیقی از  تیلور سویفت پخش کن ,O O O O B-Artist I-Artist O O ,Play_Music
26,از موزه بازار تهران کرایه اش چند میشه,O B-Departure B-Destination I-Destination O O O O,Catch_a_Cab
27,در هوا توکیو ابری است,O O B-Location O O,Get_Weather
